--- Algorithmic Trading Bot ---
Starting trading engine. Press Ctrl+C to stop.
Market is closed. Waiting for next open in 0d 0h 8m...
Market is closed. Waiting for next open in 0d 0h 7m...
Market is closed. Waiting for next open in 0d 0h 6m...
Market is closed. Waiting for next open in 0d 0h 5m...
Market is closed. Waiting for next open in 0d 0h 4m...
Market is closed. Waiting for next open in 0d 0h 3m...
Market is closed. Waiting for next open in 0d 0h 2m...
Market is closed. Waiting for next open in 0d 0h 1m...
Market is closed. Waiting for next open in 0d 0h 0m...
Market is open. Starting trading engine...
11:19:50 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: $164.85
11:20:20 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: $181.81
11:20:51 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: $177.54
11:21:22 ET | EXIT: CONTRARY SIGNAL (BUY) | Submitting order to close -423 shares.
11:21:52 ET | Polling... | Prediction: Buy
11:21:52 ET | SIGNAL: BUY  | Submitting market order for 848 shares.
11:22:23 ET | HOLDING  | Side: Buy , Qty:   848, P/L: $72.08
11:22:54 ET | HOLDING  | Side: Buy , Qty:   848, P/L: $144.16
11:23:25 ET | HOLDING  | Side: Buy , Qty:   848, P/L: $33.92
11:23:55 ET | HOLDING  | Side: Buy , Qty:   848, P/L: $72.08
11:24:26 ET | HOLDING  | Side: Buy , Qty:   848, P/L: $118.72
11:24:57 ET | HOLDING  | Side: Buy , Qty:   848, P/L: $93.28
11:25:28 ET | HOLDING  | Side: Buy , Qty:   848, P/L: $178.08
11:25:58 ET | HOLDING  | Side: Buy , Qty:   848, P/L: $211.92
11:26:29 ET | EXIT: CONTRARY SIGNAL (SELL) | Submitting order to close 848 shares.
11:27:00 ET | Polling... | Prediction: Sell
11:27:00 ET | SIGNAL: SELL | Submitting market order for 424 shares.
11:27:31 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($16.96)
11:28:02 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($25.44)
11:28:32 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($38.20)
11:29:03 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($72.08)
