Open,High,Low,Close,Volume,Timestamp,VolumeWeightedAveragePrice,NumberOfTransactions,Date
510.02,510.02,510,510,1123,1735862100000,510.0102,16,01/02/2025 23:55:00
510.03,510.09,509.99,510.0312,4472,1735862400000,510.0304,44,01/03/2025 00:00:00
510.0801,510.77,510.0801,510.71,25531,1735862700000,510.3937,142,01/03/2025 00:05:00
510.74,511.079,510.74,510.94,24398,1735863000000,510.8942,165,01/03/2025 00:10:00
510.9,511.11,510.87,511.03,15814,1735863300000,511.0265,107,01/03/2025 00:15:00
510.97,510.97,510.73,510.87,10273,1735863600000,510.7728,67,01/03/2025 00:20:00
510.92,511.48,510.9,511.38,39068,1735863900000,511.155,170,01/03/2025 00:25:00
511.39,511.551,511.39,511.43,10536,1735864200000,511.4392,111,01/03/2025 00:30:00
511.48,511.71,511.48,511.65,10938,1735864500000,511.6367,80,01/03/2025 00:35:00
511.66,511.8,511.6,511.6,6183,1735864800000,511.6846,67,01/03/2025 00:40:00
511.62,511.726,511.58,511.63,3992,1735865100000,511.6278,53,01/03/2025 00:45:00
511.6,511.86,511.541,511.8,9724,1735865400000,511.7313,124,01/03/2025 00:50:00
511.73,511.87,511.7101,511.85,7363,1735865700000,511.8043,71,01/03/2025 00:55:00
511.92,512.21,511.89,512.16,9187,1735894800000,512.0628,179,01/03/2025 09:00:00
512.17,512.64,512.17,512.64,13358,1735895100000,512.5143,168,01/03/2025 09:05:00
512.65,512.83,512.63,512.83,1799,1735895400000,512.659,47,01/03/2025 09:10:00
512.75,513,512.61,512.68,4660,1735895700000,512.8245,86,01/03/2025 09:15:00
512.89,513.14,512.89,513.14,2306,1735896000000,513.0791,52,01/03/2025 09:20:00
513.21,513.21,513,513,2311,1735896300000,513.1044,48,01/03/2025 09:25:00
512.91,512.91,512.7,512.79,2575,1735896600000,512.8256,62,01/03/2025 09:30:00
512.81,512.87,512.72,512.81,3281,1735896900000,512.7777,50,01/03/2025 09:35:00
512.97,513.07,512.91,513.01,2732,1735897200000,513.0172,37,01/03/2025 09:40:00
512.99,512.99,512.88,512.89,5022,1735897500000,512.9155,34,01/03/2025 09:45:00
512.81,512.88,512.78,512.88,1798,1735897800000,512.8155,20,01/03/2025 09:50:00
512.92,512.95,512.9,512.9,828,1735898100000,512.9268,19,01/03/2025 09:55:00
512.78,512.78,512.43,512.44,2739,1735898400000,512.5029,64,01/03/2025 10:00:00
512.52,512.52,512.52,512.52,375,1735898700000,512.5201,15,01/03/2025 10:05:00
512.54,512.54,512.54,512.54,401,1735899000000,512.5572,5,01/03/2025 10:10:00
512.69,512.69,512.69,512.69,344,1735899300000,512.6893,6,01/03/2025 10:15:00
512.6,512.6,512.36,512.37,2558,1735899600000,512.4537,55,01/03/2025 10:20:00
512.35,512.42,512.19,512.42,4794,1735899900000,512.3348,60,01/03/2025 10:25:00
512.43,512.43,512.22,512.22,2345,1735900200000,512.3391,25,01/03/2025 10:30:00
512.33,512.41,512.33,512.41,2776,1735900500000,512.3905,18,01/03/2025 10:35:00
512.43,512.47,512.34,512.47,5867,1735900800000,512.3919,25,01/03/2025 10:40:00
512.44,512.44,512.25,512.25,962,1735901100000,512.3444,33,01/03/2025 10:45:00
512.04,512.04,511.9,511.94,6887,1735901400000,511.9707,90,01/03/2025 10:50:00
511.95,512.04,511.95,512.03,909,1735901700000,511.9617,34,01/03/2025 10:55:00
511.98,511.98,511.69,511.69,2354,1735902300000,511.7799,46,01/03/2025 11:05:00
511.63,511.8,511.63,511.8,2667,1735902600000,511.7361,28,01/03/2025 11:10:00
511.85,512.01,511.85,511.99,2359,1735902900000,511.9739,27,01/03/2025 11:15:00
512,512.17,512,512.17,1996,1735903200000,512.0378,15,01/03/2025 11:20:00
512.18,512.24,512.18,512.24,916,1735903500000,512.1952,21,01/03/2025 11:25:00
512.18,512.18,512.11,512.11,2845,1735903800000,512.1698,23,01/03/2025 11:30:00
512.15,512.25,512.15,512.25,852,1735904100000,512.2265,9,01/03/2025 11:35:00
512.2,512.2,512.2,512.2,304,1735904400000,512.2006,5,01/03/2025 11:40:00
512.21,512.3,512.21,512.24,3664,1735904700000,512.2572,16,01/03/2025 11:45:00
511.97,512.28,511.97,512.28,4642,1735905000000,512.0941,64,01/03/2025 11:50:00
512.27,512.33,512.27,512.33,1487,1735905300000,512.3137,21,01/03/2025 11:55:00
512.2,512.2,511.87,511.95,20279,1735905600000,511.9982,173,01/03/2025 12:00:00
511.83,511.89,511.64,511.82,9526,1735905900000,511.7409,89,01/03/2025 12:05:00
511.86,511.98,511.81,511.96,6953,1735906200000,511.8326,45,01/03/2025 12:10:00
511.7,511.72,511.46,511.471,2999,1735906500000,511.5739,99,01/03/2025 12:15:00
511.4,511.78,511.39,511.78,9007,1735906800000,511.5651,99,01/03/2025 12:20:00
511.75,512,511.72,512,8622,1735907100000,511.8442,114,01/03/2025 12:25:00
511.89,511.89,511.71,511.75,1753,1735907400000,511.8323,34,01/03/2025 12:30:00
511.77,511.88,511.65,511.88,2537,1735907700000,511.8106,50,01/03/2025 12:35:00
511.88,511.89,511.69,511.7,3993,1735908000000,511.8539,58,01/03/2025 12:40:00
511.71,511.92,511.71,511.89,3834,1735908300000,511.8733,42,01/03/2025 12:45:00
511.86,512.09,511.86,512.09,17128,1735908600000,512.0354,118,01/03/2025 12:50:00
512.11,512.15,512.09,512.15,8568,1735908900000,512.1193,89,01/03/2025 12:55:00
511.98,512.85,511.36,512.5,71458,1735909200000,511.9453,1373,01/03/2025 13:00:00
512.51,512.72,512.41,512.61,33170,1735909500000,512.6322,230,01/03/2025 13:05:00
512.64,512.65,512.39,512.39,214428,1735909800000,510.3882,142,01/03/2025 13:10:00
512.39,512.43,512.25,512.2501,10064,1735910100000,512.3504,129,01/03/2025 13:15:00
512.25,512.42,512.2,512.4,18433,1735910400000,512.3042,144,01/03/2025 13:20:00
512.31,512.53,512.31,512.5294,5605,1735910700000,512.4532,118,01/03/2025 13:25:00
512.54,512.83,512.49,512.81,17308,1735911000000,512.7125,260,01/03/2025 13:30:00
512.81,512.87,512.6,512.61,10906,1735911300000,512.7684,198,01/03/2025 13:35:00
512.62,512.73,512.47,512.47,14768,1735911600000,512.623,206,01/03/2025 13:40:00
512.41,512.4687,512.21,512.3,7115,1735911900000,512.3341,168,01/03/2025 13:45:00
512.4,512.4,511.861,512.07,32525,1735912200000,512.0732,414,01/03/2025 13:50:00
512.06,512.06,511.7699,511.83,35645,1735912500000,511.9068,340,01/03/2025 13:55:00
511.81,512.06,511.761,511.86,12372,1735912800000,511.9252,214,01/03/2025 14:00:00
511.92,512.47,511.86,512.42,38190,1735913100000,512.3158,326,01/03/2025 14:05:00
512.45,512.6,512.3502,512.53,6183,1735913400000,512.4742,193,01/03/2025 14:10:00
512.5,513,512.465,512.99,23852,1735913700000,512.7239,340,01/03/2025 14:15:00
513.01,513.21,512.97,513,55743,1735914000000,513.0943,369,01/03/2025 14:20:00
513.02,513.55,513.02,513.25,82913,1735914300000,513.284,848,01/03/2025 14:25:00
513.35,514.96,512.96,514.2197,746118,1735914600000,513.9539,9528,01/03/2025 14:30:00
514.22,516.19,513.77,516.09,797162,1735914900000,514.808,9234,01/03/2025 14:35:00
516.1,516.53,515.68,516.343,608991,1735915200000,516.027,7313,01/03/2025 14:40:00
516.36,516.5899,514.49,514.93,736513,1735915500000,515.5938,8492,01/03/2025 14:45:00
514.95,515.48,513.63,514.56,514429,1735915800000,514.5225,6756,01/03/2025 14:50:00
514.56,515.57,514.32,515.48,462136,1735916100000,515.0055,5743,01/03/2025 14:55:00
515.4,516.4,514.45,516.37,641244,1735916400000,515.3405,9462,01/03/2025 15:00:00
516.37,516.73,515.53,515.92,494225,1735916700000,516.1976,10449,01/03/2025 15:05:00
515.93,516.24,514.34,514.61,455406,1735917000000,515.0703,5696,01/03/2025 15:10:00
514.69,515.03,513.36,513.95,445745,1735917300000,514.138,6286,01/03/2025 15:15:00
514.04,514.14,512.53,513.87,540523,1735917600000,513.2196,7264,01/03/2025 15:20:00
514.03,514.46,513.735,514.28,310228,1735917900000,514.1585,4239,01/03/2025 15:25:00
514.29,514.79,513.41,514.78,285690,1735918200000,514.1226,4657,01/03/2025 15:30:00
514.7,515.49,514.24,514.72,320994,1735918500000,514.9193,4940,01/03/2025 15:35:00
514.7671,515.8,514.63,515.29,202999,1735918800000,515.2409,3344,01/03/2025 15:40:00
515.32,515.635,514.9901,515.21,240218,1735919100000,515.3917,2885,01/03/2025 15:45:00
515.24,515.42,514.5,514.79,235004,1735919400000,514.9316,3362,01/03/2025 15:50:00
514.81,515.42,514.54,515.27,189352,1735919700000,514.9876,2835,01/03/2025 15:55:00
515.28,516.14,515.02,515.875,225512,1735920000000,515.5679,3314,01/03/2025 16:00:00
515.84,515.88,514.41,514.61,260188,1735920300000,515.0194,3840,01/03/2025 16:05:00
514.64,515.1082,514.35,515.01,156108,1735920600000,514.6747,2619,01/03/2025 16:10:00
514.95,515.37,514.72,515.35,102939,1735920900000,515.0783,2139,01/03/2025 16:15:00
515.38,515.95,515.19,515.78,246436,1735921200000,515.5438,2891,01/03/2025 16:20:00
515.78,516.45,515.695,516.44,199735,1735921500000,516.113,3146,01/03/2025 16:25:00
516.44,517.07,516.34,517.05,381741,1735921800000,516.7398,4871,01/03/2025 16:30:00
517.04,517.45,516.66,517.1119,537075,1735922100000,517.222,4244,01/03/2025 16:35:00
517.18,517.68,517.14,517.56,237441,1735922400000,517.4888,3247,01/03/2025 16:40:00
517.538,517.75,517.39,517.64,274618,1735922700000,517.6076,2941,01/03/2025 16:45:00
517.65,517.97,517.52,517.825,270489,1735923000000,517.7633,3742,01/03/2025 16:50:00
517.825,517.95,517.24,517.31,306732,1735923300000,515.1195,2796,01/03/2025 16:55:00
517.34,517.798,517.34,517.765,238520,1735923600000,517.6284,2823,01/03/2025 17:00:00
517.765,517.87,517.468,517.5,295539,1735923900000,515.0782,2440,01/03/2025 17:05:00
517.46,517.68,517.04,517.08,126931,1735924200000,517.4275,2324,01/03/2025 17:10:00
517.09,517.66,516.89,516.9301,152659,1735924500000,517.3016,2569,01/03/2025 17:15:00
516.99,517.4,516.82,517.37,137691,1735924800000,517.1179,2196,01/03/2025 17:20:00
517.38,517.63,516.96,516.9816,103725,1735925100000,517.381,1851,01/03/2025 17:25:00
517.02,517.28,516.81,517.16,93774,1735925400000,517.0952,1769,01/03/2025 17:30:00
